,Year,District,2 Year,4 Year,Not Enrolled,all_students,female,male,gender_x,american_indian_alaskan_native,asian,black_african_american,hispanic_latino_of_any_race,native_hawaiian_other_pacific,two_or_more_races,white,english_language_learners,highly_capable,low_income,non_english_language_learners,non_highly_capable,non_low_income
142,2014,Stanwood-Camano,0.31,0.275,0.42500000000000004,4528,2180,2348,0,37,71,43,393,8,200,3775,92,107,1395,4436,4421,3133
143,2014,Stevenson-Carson,0.18,0.33,0.49,970,448,522,0,20,5,16,143,3,43,740,20,34,548,950,936,422
144,2014,Sumner,0.28,0.34,0.3833333333333333,8987,4421,4566,0,81,181,86,1153,41,714,6731,317,286,3394,8670,8701,5593
145,2014,Sunnyside,0.21,0.25,0.54,6685,3192,3493,0,3,2,8,6148,0,52,472,1594,38,5536,5091,6647,1149
146,2014,Tacoma,0.25375000000000003,0.34125,0.40249999999999997,30613,15055,15558,0,371,3028,5767,5752,795,2085,12815,2572,1522,20671,28041,29091,9942
147,2014,Tahoma,0.33,0.39,0.29,8093,3927,4166,0,39,312,129,759,45,669,6140,146,64,1392,7947,8029,6701
148,2014,Tenino,0.25,0.18,0.57,1237,561,676,0,10,6,14,88,4,39,1076,11,33,640,1226,1204,597
149,2014,Toledo,0.28500000000000003,0.16,0.5549999999999999,733,361,372,0,12,6,6,71,1,41,596,14,11,406,719,722,327
150,2014,Tonasket,0.22,0.25,0.53,1107,517,590,0,6,3,5,429,0,36,628,193,0,763,914,1107,344
151,2014,Toppenish,0.22,0.29000000000000004,0.485,4468,2194,2274,0,525,24,15,3427,1,45,431,1418,160,4181,3050,4308,287
152,2014,Tukwila,0.43,0.25,0.32,3164,1557,1607,0,24,841,693,869,108,211,418,1203,123,2614,1961,3041,550
153,2014,Tumwater,0.28,0.33666666666666667,0.38000000000000006,6236,3036,3200,0,46,167,115,631,31,570,4676,87,171,2172,6149,6065,4064
154,2014,University Place,0.31,0.45,0.23,5656,2777,2879,0,31,511,529,720,55,907,2903,236,114,2440,5420,5542,3216
155,2014,Vancouver,0.2783333333333333,0.34,0.3833333333333333,23451,11461,11990,0,134,788,652,5487,447,1588,14355,2914,255,13251,20537,23196,10200
156,2014,Vashon Island,0.27,0.5549999999999999,0.175,1588,747,841,0,9,48,13,173,0,128,1217,39,0,411,1549,1588,1177
157,2014,Wahluke,0.31,0.14500000000000002,0.545,2425,1204,1221,0,14,0,0,2318,0,5,88,1437,0,2347,988,2425,78
158,2014,Wapato,0.265,0.255,0.485,3290,1600,1690,0,681,47,1,2358,4,95,104,991,57,3245,2299,3233,45
159,2014,Warden,0.39,0.15,0.46,992,510,482,0,0,4,2,794,0,13,179,328,0,803,664,992,189
160,2014,Washougal,0.305,0.235,0.45999999999999996,3159,1524,1635,0,21,42,22,311,3,202,2558,69,0,1401,3090,3159,1758
161,2014,Wenatchee,0.38,0.29000000000000004,0.32999999999999996,7941,3826,4115,0,29,67,37,3874,7,194,3733,1835,609,5009,6106,7332,2932
162,2014,West Valley (Spokane),0.34,0.24,0.42,3925,1893,2032,0,39,53,65,293,10,269,3196,102,31,2291,3823,3894,1634
163,2014,West Valley (Yakima),0.27,0.39,0.34,5014,2428,2586,0,47,127,45,1349,6,144,3296,422,291,2200,4592,4723,2814
164,2014,White River,0.26,0.26,0.49,3661,1729,1932,0,37,29,22,330,9,206,3028,83,78,1344,3578,3583,2317
165,2014,White Salmon Valley,0.21,0.36,0.43,1317,622,695,0,9,9,5,429,1,31,833,194,0,685,1123,1317,632
166,2014,Winlock,0.4,0.2,0.405,710,312,398,0,4,4,4,178,0,34,486,75,0,638,635,710,72
167,2014,Woodland,0.245,0.2,0.55,2266,1065,1201,0,15,9,19,424,1,64,1734,155,247,1170,2111,2019,1096
168,2014,Yakima,0.3233333333333333,0.24666666666666667,0.43,16179,8029,8150,0,143,85,143,12380,9,416,3003,5516,528,14371,10663,15651,1808
169,2014,Yelm,0.255,0.265,0.48,5632,2691,2941,0,73,83,84,747,36,533,4076,101,0,2751,5531,5632,2881
170,2014,Zillah,0.32,0.38,0.3,1336,609,727,0,54,6,3,655,1,37,580,149,0,765,1187,1336,571
171,2015,Aberdeen,0.37,0.19,0.435,3394,1684,1710,0,128,78,39,1063,10,193,1883,385,89,2419,3009,3305,975
172,2015,Adna,0.41,0.17,0.41,629,289,340,0,4,5,2,41,0,15,562,3,0,193,626,629,436
173,2015,Anacortes,0.25,0.44,0.31,2809,1367,1442,0,22,96,34,288,5,65,2299,51,72,905,2758,2737,1904
174,2015,Arlington,0.3,0.29000000000000004,0.405,5612,2689,2923,0,63,88,57,727,25,315,4337,244,0,2123,5368,5612,3489
175,2015,Auburn,0.315,0.3025,0.3825,16126,7886,8240,0,212,1267,1110,4484,546,1546,6961,2546,266,9450,13580,15860,6676
176,2015,Bainbridge Island,0.11499999999999999,0.7050000000000001,0.18,3942,1905,2037,0,21,135,22,275,4,341,3144,31,0,333,3911,3942,3609
177,2015,Battle Ground,0.312,0.24,0.45,13501,6547,6954,0,30,275,80,1129,49,637,11296,517,225,5271,12984,13276,8230
178,2015,Bellevue,0.19333333333333336,0.64,0.16666666666666666,20200,9646,10554,0,25,7271,541,2400,47,1823,8093,2400,1905,4053,17800,18295,16147
179,2015,Bellingham,0.3025,0.4425,0.2575,11273,5441,5832,0,127,633,168,1790,41,844,7670,739,2,4546,10534,11271,6727
180,2015,Bethel,0.23600000000000004,0.202,0.5599999999999999,18991,9078,9913,0,240,839,1508,3007,628,1931,10838,650,975,9694,18341,18016,9297
181,2015,Blaine,0.28,0.23,0.49,2238,1068,1170,0,19,71,36,281,19,121,1691,92,64,1121,2146,2174,1117
182,2015,Bremerton,0.29000000000000004,0.24,0.46499999999999997,5204,2431,2773,0,57,187,311,964,103,823,2759,234,62,3467,4970,5142,1737
183,2015,Brewster,0.255,0.255,0.49,1000,454,546,0,7,2,1,902,0,5,83,459,0,904,541,1000,96
184,2015,Burlington-Edison,0.345,0.23,0.42,3608,1745,1863,0,30,59,32,1461,9,111,1905,747,210,1970,2861,3398,1638
185,2015,Camas,0.235,0.495,0.27,7012,3437,3575,0,23,448,53,565,31,533,5359,166,116,1250,6846,6896,5762
186,2015,Cape Flattery,0.37,0.15,0.49,475,242,233,0,227,0,0,92,0,88,68,0,5,360,475,470,115
187,2015,Cascade,0.27,0.31,0.42,1372,667,705,0,10,9,4,396,2,20,928,187,0,681,1185,1372,691
188,2015,Castle Rock,0.29,0.2,0.51,1248,587,661,0,12,5,4,112,7,72,1036,24,17,663,1224,1231,585
189,2015,Central Kitsap,0.34750000000000003,0.3025,0.345,10959,5294,5665,0,49,573,347,1390,150,1798,6652,298,153,4045,10661,10806,6914
190,2015,Central Valley,0.26666666666666666,0.30666666666666664,0.4266666666666667,13711,6559,7152,0,124,208,248,1008,98,580,11445,434,1911,5511,13277,11800,8200
191,2015,Centralia,0.33999999999999997,0.11499999999999999,0.55,3555,1711,1844,0,22,24,38,1155,8,136,2171,374,85,2770,3181,3470,785
192,2015,Chehalis,0.34,0.28500000000000003,0.375,3033,1410,1623,0,19,35,35,551,5,170,2218,133,0,1555,2900,3033,1478
193,2015,Cheney,0.22,0.395,0.385,4637,2175,2462,0,81,76,84,473,28,314,3581,129,263,2367,4508,4374,2270
194,2015,Chewelah,0.2833333333333334,0.29333333333333333,0.42333333333333334,800,373,427,0,5,5,7,31,2,28,722,0,35,509,800,765,291
195,2015,Chimacum,0.24,0.26,0.5,1102,545,557,0,13,18,9,94,2,75,891,12,22,594,1090,1080,508
196,2015,Clarkston,0.16499999999999998,0.32,0.515,2677,1339,1338,0,46,25,32,188,1,105,2280,34,18,1622,2643,2659,1055
197,2015,Cle Elum-Roslyn,0.185,0.49,0.32,903,440,463,0,5,7,6,93,1,41,750,20,26,412,883,877,491
